title,company,location,job_url,source,description,job_type,is_remote,date_posted,salary_min,salary_max,salary_interval
Python Developer(Remote),SynergisticIT,US,https://jobgether.com/offer/6992c7bdda7696de2f53957a-python-developer-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,indeed,"This a Full Remote job, the offer is available from: Rhode Island (USA)

SynergisticIT is committed to fast track your career by increasing your career prospects. We provide a broad spectrum of career advancement solutions. Whether you are struggling to find a job or hustling to get noticed by the hiring managers, we can help you stand out in your professional endeavors.

Trusted by thousands of tech enthusiasts, SynergisticIT can bridge your skill and knowledge gap to make you competent for hig",full-time,True,2026-02-16T00:00:00.000Z,,,
Python Developer - Remote $ 120/Hours,YO IT CONSULTING,US,https://www.indeed.com/viewjob?jk=bfc2c379661fa93d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,indeed,"hiring experienced Python Engineers to support a variety of high-impact research collaborations with leading AI labs. Freelancers will help improve AI systems through work extending coding benchmarks that reflect real-world development across diverse languages and domains.

This is a unique opportunity to apply your engineering expertise toward shaping the next generation of intelligent systems.

Key Responsibilities
• Develop and validate coding benchmarks in Python by curating issues, solution",contract,True,,80.0,200.0,hour
Remote Python Developer - H1B Sponsorship & Growth,Bright Vision Technologies,"Indianapolis, Indiana, US",https://www.jobleads.com/us/job/remote-python-developer-h1b-sponsorship-growth--indianapolis--e61dd1ea890d4d1fd194888cc0bfce223?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,indeed,"A leading software development company is seeking a skilled Python Developer to join their remote team. The ideal candidate will have 3 to 5 years of real-time experience with Python, Django, and related technologies. This role offers an opportunity for H1B sponsorship and a coding test is required. The company is dedicated to creating innovative solutions that help businesses automate and optimize operations, leveraging modern technologies in a collaborative environment.",full-time,True,2026-02-16T00:00:00.000Z,80000.0,120000.0,year
Python Developer (Remote),SynergisticIT,US,https://jobgether.com/offer/6965f54796ae97ba4ad12c9b-python-developer-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,indeed,"This a Full Remote job, the offer is available from: Arkansas (USA), Illinois (USA)

SYNERGISTICIT is aware that the Job Market is Challenging due to almost 600,000 Tech Layoffs within the past 2 years due to which The Job market is flooded with thousands of laid off Techies who are competing with existing Jobseekers. For entry level Job seekers to get client interviews and jobs they need to differentiate themselves by ensuring they have exceptional skills and technologies to be noticed by clien",full-time,True,,,,
Remote Python Engineer Job for a Health Tech Startup (Part-Time),Toptal,"Philadelphia, Pennsylvania, US",https://www.toptal.com/freelance-jobs/developers/django/python-engineer-65?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,indeed,"We’re a health tech startup launching a new product to automate data analysis and data visualization. We are looking to hire a Python engineer to improve data loading and storage practices, create data visualizations, and write reports. This is a great chance to work with a fascinating data set.

Design your lifestyle as a full-time freelancer, with the freedom to work however, wherever, on your terms.

About Toptal:

Freelance work is defining the careers of today’s Developers in exciting new w",part-time,True,2026-02-19T00:00:00.000Z,50000.0,300000.0,year
Senior Full Stack Software Developer,Judi Health,Remote,https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-developer-judi-health-1130456,remoteok,"<div><h2><strong>About Judi Health</strong></h2>
<p>Judi Health is an enterprise health technology company providing a comprehensive suite of solutions for employers and health plans, including:</p>
<ul>
<li><strong>Capital Rx</strong>, a public benefit corporation delivering full-service pharmacy benefit management (PBM) solutions to self-insured employers,</li>
<li><strong>Judi Healthâ¢</strong>, which offers full-service health benefit management solutions to employers, TPAs, and health plan",,True,2026-02-20T08:00:20+00:00,0,0,
Senior Engineering Manager Cloud Enablement,Temporal Technologies,Remote,https://remoteOK.com/remote-jobs/remote-senior-engineering-manager-cloud-enablement-temporal-technologies-1130455,remoteok,"<div><h3><strong>About Us</strong></h3>
<div>Temporal is an open source programming model that can simplify code, make applications more reliable, and help developers focus on the important things like delivering features faster. We are on a mission to be the reliable foundation of every developerâs toolbox, and are building the team that will make that happen.</div>
<div>&nbsp;</div>
<div>Our values guide us âthey are present in how we show up, make decisions, and work together to make an i",,True,2026-02-20T08:00:12+00:00,0,0,
C++ Developer,Magic Media,Remote,https://remoteOK.com/remote-jobs/remote-c-developer-magic-media-1130444,remoteok,"<p></p><p>Magic Media is a pioneering media, entertainment and tech group powered by creativity and innovation. We have a physical presence in 15 countries and expertise in the areas of art, animation, cybersecurity, game development, software development, VFX and video production amongst others. We work with leading developers and publishers within the games and tech industry, providing support and solutions designed around individual needs and carried out by global experts.</p><p></p><p>We're ",,True,2026-02-19T16:01:48+00:00,0,0,
QA Engineer,Mex Digital FZE ,Remote,https://remoteOK.com/remote-jobs/remote-qa-engineer-mex-digital-fze-1130438,remoteok,"<p style=""min-height:1.5em"">Welcome to <strong>MultiBank Group</strong>, a global financial pioneer established in 2005 in California and now proudly headquartered in Dubai, UAE. We specialize in delivering cutting-edge trading technology, unparalleled liquidity, and exceptional customer service. Our extensive range of financial products includes Forex, Metals, Shares, Indices, Commodities, and Cryptocurrency CFDs.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em"">Join our thriving ",,True,2026-02-19T08:00:33+00:00,0,0,
Job 27573 Mid Data Developer Brasil,CI&amp;T,Remote,https://remoteOK.com/remote-jobs/remote-job-27573-mid-data-developer-brasil-ciampt-1130435,remoteok,"<p><span style=""font-size: 16px"">Somos especialistas em <b>transformaÃ§Ã£o tecnolÃ³gica</b>, unindo expertise humana Ã  IA para criar soluÃ§Ãµes tech escalÃ¡veis. Com mais de 8,000 CI&amp;Ters ao redor do mundo, jÃ¡ formamos parcerias com mais de 1,000 clientes durante nossos 30 anos de histÃ³ria. InteligÃªncia Artificial Ã© nossa realidade.</span></p><p><br></p><p><span style=""font-size: 16px""><b>Importante</b>: se vocÃª reside na RegiÃ£o Metropolitana de Campinas, sua presenÃ§a nos escritÃ³rio",,True,2026-02-19T00:06:05+00:00,0,0,
